"","idcode","industry","occupation","union","wage","hours","ttl_exp","tenure","age","gender","race","married","yearsofschooling","collgrad","south","smsa","c_city"
"52",123,"Business/Repair Svc","Operatives","union",2.898549,37,7.320513,0.75,41,"female","other","single",6,"not college grad",0,"SMSA",1
"53",126,"Professional Services","Professional/technical","nonunion",10.06441,40,19.75,19.75,39,"male","black","single",12,"not college grad",0,"SMSA",1
"54",128,"Finance/Ins/Real Estate","Professional/technical","nonunion",8.518515,40,19.03205,19,36,"male","white","married",12,"not college grad",0,"SMSA",0
"55",129,"Professional Services","Sales","nonunion",8.49436,37,14.23077,10.16667,43,"female","white","single",12,"not college grad",0,"SMSA",0
"56",130,"Manufacturing","Sales","nonunion",5.600358,40,6.153846,0.6666667,43,"female","white","married",12,"not college grad",0,"SMSA",0
"57",131,"Professional Services","Sales","union",4.227053,38,12.26282,0.25,41,"female","white","single",12,"not college grad",0,"SMSA",1
"58",132,"Manufacturing","Operatives","nonunion",5.619967,43,10.24359,2.666667,36,"female","white","single",10,"not college grad",0,"SMSA",1
"59",134,"Public Administration","Managers/admin","nonunion",4.64573,30,6.128205,1.5,42,"male","white","married",12,"not college grad",0,"SMSA",0
"60",137,"Professional Services","Other","union",15.48309,30,9.833333,9.833333,36,"male","black","married",17,"college grad",0,"SMSA",0
"61",139,"Professional Services","Sales","union",4.830918,35,8.5,8.5,44,"male","black","single",9,"not college grad",0,"SMSA",1
"62",141,"Professional Services","Sales","nonunion",40.19808,40,12.91026,1.166667,43,"female","white","single",14,"not college grad",0,"SMSA",0
"63",142,"Professional Services","Professional/technical","union",15.48309,40,15.11538,5.75,43,"male","white","married",18,"college grad",0,"SMSA",0
"64",143,"Professional Services","Professional/technical","nonunion",10.03344,40,7.076923,0.5833333,37,"male","white","married",15,"not college grad",0,"SMSA",0
"65",144,"Ag/Forestry/Fisheries","Sales","nonunion",3.623188,40,14.32692,0.3333333,43,"male","white","married",10,"not college grad",1,"SMSA",0
"66",147,"Finance/Ins/Real Estate","Clerical/unskilled","nonunion",9.299514,20,7.666667,3.083333,40,"female","white","married",12,"not college grad",0,"SMSA",0
"67",152,"Professional Services","Other","union",10.21739,50,13.67308,4.833333,37,"male","white","married",18,"college grad",0,"SMSA",0
"68",159,"Finance/Ins/Real Estate","Clerical/unskilled","nonunion",10.00805,37,17.39744,17.33333,36,"female","white","married",11,"not college grad",0,"SMSA",0
"69",166,"Professional Services","Other","nonunion",4.227053,4,10.60256,1.083333,38,"female","white","married",14,"not college grad",0,"SMSA",0
"70",167,"Construction","Sales","nonunion",4.830918,25,16.98077,7.5,37,"female","white","married",13,"not college grad",1,"nonSMSA",0
"71",168,"Professional Services","Other","nonunion",7.745568,40,11.30128,3.833333,41,"female","white","married",17,"college grad",1,"SMSA",0
"72",169,"Professional Services","Other","union",9.847019,37,14.83333,14.83333,36,"male","white","single",16,"college grad",0,"SMSA",0
"73",172,"Professional Services","Professional/technical","nonunion",10.86957,30,17.83333,3.416667,44,"male","white","married",15,"college grad",0,"SMSA",1
"74",173,"Personal Services","Transport","nonunion",3.220612,35,11.50641,2.916667,43,"female","black","single",12,"not college grad",0,"SMSA",1
"75",176,"Public Administration","Professional/technical","union",8.164251,40,12.84615,3.5,38,"male","black","single",12,"not college grad",0,"SMSA",1
"76",183,"Manufacturing","Managers/admin","union",8.454107,40,17.1218,13.25,43,"male","white","single",12,"not college grad",0,"SMSA",0
"77",184,"Professional Services","Sales","nonunion",8.293073,40,13.78846,12.08333,41,"female","white","married",12,"not college grad",0,"SMSA",0
"78",188,"Manufacturing","Sales","union",9.677936,40,13.26923,8.416667,41,"male","white","married",12,"not college grad",0,"SMSA",0
"79",195,"Ag/Forestry/Fisheries","Sales","nonunion",4.53301,40,12.80128,2.166667,36,"male","white","married",12,"not college grad",0,"SMSA",0
"80",202,"Wholesale/Retail Trade","Laborers","nonunion",3.344482,30,11.55128,0.25,36,"female","white","single",14,"not college grad",1,"nonSMSA",0
"81",203,"Finance/Ins/Real Estate","Clerical/unskilled","nonunion",8.454107,24,19.00641,3.166667,41,"female","white","married",11,"not college grad",1,"SMSA",1
"82",204,"Wholesale/Retail Trade","Managers/admin","nonunion",6.038648,40,5.596154,4,38,"male","black","married",10,"not college grad",0,"SMSA",1
"83",206,"Professional Services","Professional/technical","nonunion",10.32206,18,10.33333,1.333333,37,"male","white","married",14,"not college grad",0,"SMSA",1
"84",207,"Professional Services","Professional/technical","union",11.6103,50,13.26923,2.083333,38,"male","black","single",18,"college grad",0,"SMSA",1
"85",210,"Manufacturing","Operatives","nonunion",5.016723,40,15.64103,10.91667,37,"female","black","single",11,"not college grad",0,"SMSA",0
"86",213,"Manufacturing","Operatives","nonunion",6.441224,40,16.90385,14.41667,43,"female","white","single",10,"not college grad",0,"SMSA",1
"87",215,"Wholesale/Retail Trade","Sales","nonunion",5.032206,40,15.85256,3.75,36,"male","white","single",16,"college grad",0,"SMSA",0
"88",218,"Professional Services","Managers/admin","nonunion",4.830918,38,10.11538,2.083333,35,"male","white","married",12,"not college grad",0,"nonSMSA",0
"89",219,"Professional Services","Laborers","nonunion",11.07085,40,16.85897,8.916667,35,"female","white","single",13,"not college grad",0,"SMSA",1
"90",221,"Manufacturing","Professional/technical","nonunion",8.317226,35,9.256411,1.833333,40,"male","white","married",16,"graduated college",0,"SMSA",0
"91",223,"Entertainment/Rec Svc","Professional/technical","nonunion",13.08374,40,15.91667,8.75,37,"male","white","single",16,"college grad",0,"SMSA",0
"92",224,"Professional Services","Sales","union",5.628018,40,10.78846,4.666667,38,"female","white","married",13,"not college grad",0,"SMSA",0
"93",225,"Manufacturing","Managers/admin","nonunion",12.56039,45,16.69231,15.75,35,"male","white","single",16,"college grad",0,"SMSA",0
"94",226,"Public Administration","Professional/technical","nonunion",6.682766,40,7.692307,6.666667,34,"male","white","married",16,"college grad",1,"SMSA",0
"95",227,"Manufacturing","Sales","nonunion",5.636071,40,18.78846,1.333333,42,"male","white","single",15,"not college grad",1,"SMSA",1
"96",228,"Finance/Ins/Real Estate","Sales","nonunion",4.025765,15,4.980769,0.3333333,42,"female","white","married",16,"college grad",1,"SMSA",0
"97",231,"Business/Repair Svc","Sales","nonunion",18.06763,30,10.58974,9.833333,42,"female","white","married",16,"college grad",0,"SMSA",0
"98",233,"Professional Services","Professional/technical","nonunion",5.805152,40,13.92308,13.91667,36,"male","white","married",16,"college grad",0,"nonSMSA",0
"99",236,"Professional Services","Professional/technical","nonunion",24.66183,20,9.480769,3.75,36,"male","white","married",18,"college grad",0,"SMSA",1
"100",237,"Professional Services","Sales","union",7.21417,40,12.09615,1.75,36,"female","white","single",17,"college grad",0,"SMSA",1
"101",242,"Professional Services","Operatives","union",4.694041,24,15.30128,8.75,39,"female","white","married",12,"not college grad",0,"SMSA",0
"102",243,"Public Administration","Managers/admin","union",12.69726,40,17.49359,8.583333,35,"male","white","married",18,"college grad",0,"SMSA",0
"103",244,"Finance/Ins/Real Estate","Professional/technical","nonunion",9.565216,40,16.26923,11.25,36,"male","white","single",13,"not college grad",1,"nonSMSA",0
"104",245,"Professional Services","Professional/technical","nonunion",6.191625,40,9.846154,1,36,"male","white","married",15,"not college grad",0,"SMSA",1
"105",250,"Professional Services","Other","nonunion",7.681153,50,9.064103,3.916667,44,"female","white","married",18,"college grad",1,"SMSA",0
"106",254,"Professional Services","Professional/technical","nonunion",9.806758,40,16.30769,9.75,39,"male","white","single",12,"not college grad",1,"SMSA",0
"107",255,"Transport/Comm/Utility","Sales","nonunion",4.025765,40,24.75,24.75,45,"female","black","married",14,"not college grad",0,"SMSA",1
"108",257,"Professional Services","Professional/technical","union",11.6103,40,11.65385,2.75,38,"male","black","married",16,"college grad",1,"SMSA",1
"109",260,"Professional Services","Laborers","nonunion",6.964568,40,10.8718,2.5,38,"male","white","single",12,"not college grad",0,"SMSA",0
"110",261,"Professional Services","Sales","union",4.259257,40,5.365384,2.833333,41,"female","white","married",12,"not college grad",0,"SMSA",0
"111",262,"Professional Services","Managers/admin","nonunion",4.508855,40,14.57692,1.25,44,"male","white","single",14,"not college grad",1,"SMSA",0
"112",265,"Professional Services","Professional/technical","nonunion",9.227052,40,11.01923,0.75,44,"male","white","single",14,"not college grad",1,"SMSA",1
"113",269,"Professional Services","Other","union",3.31723,14,7.653846,1.75,40,"female","white","married",16,"college grad",0,"SMSA",0
"114",270,"Professional Services","Laborers","union",8.05153,40,16.44872,10.66667,38,"female","white","married",16,"college grad",0,"SMSA",1
"115",271,"Wholesale/Retail Trade","Sales","nonunion",5.11272,40,11.33333,11.33333,36,"male","white","single",11,"not college grad",0,"SMSA",1
"116",273,"Business/Repair Svc","Laborers","nonunion",3.553512,20,9.019231,0.3333333,42,"female","white","married",12,"not college grad",0,"SMSA",0
"117",275,"Manufacturing","Operatives","nonunion",1.004952,16,7.480769,1,38,"female","white","married",10,"not college grad",0,"SMSA",1
"118",276,"Wholesale/Retail Trade","Sales","nonunion",7.318838,22,16.16667,16.16667,35,"male","white","married",12,"not college grad",0,"SMSA",1
"119",279,"Wholesale/Retail Trade","Other","nonunion",9.891299,55,15.55769,6.25,35,"female","white","married",16,"college grad",0,"SMSA",0
"120",285,"Wholesale/Retail Trade","Managers/admin","nonunion",5.885666,50,10.10256,2.583333,38,"male","white","married",13,"not college grad",0,"SMSA",0
"121",287,"Professional Services","Laborers","union",4.863122,15,5.519231,0.75,41,"female","white","married",12,"not college grad",0,"SMSA",0
"122",289,"Construction","Sales","nonunion",2.801002,46,19.13461,0.75,44,"female","white","married",12,"not college grad",0,"nonSMSA",0
"123",291,"Professional Services","Laborers","nonunion",3.051839,40,7.596154,4.583333,42,"female","white","single",12,"not college grad",0,"SMSA",1
"124",294,"Wholesale/Retail Trade","Managers/admin","nonunion",5.636071,30,15.60897,1.75,34,"male","white","married",12,"not college grad",0,"SMSA",0
"125",296,"Professional Services","Laborers","nonunion",8.80837,32,15.23077,11.41667,44,"female","white","married",12,"not college grad",0,"SMSA",0
"126",298,"Finance/Ins/Real Estate","Managers/admin","nonunion",23.24476,40,12.07051,2.25,37,"male","white","married",16,"college grad",1,"SMSA",1
"127",299,"Finance/Ins/Real Estate","Professional/technical","nonunion",12.22222,38,12.15385,6.75,41,"male","black","single",16,"college grad",0,"SMSA",1
"128",301,"Professional Services","Managers/admin","nonunion",12.971,40,14.90385,6.5,38,"male","white","single",18,"college grad",0,"SMSA",0
"129",305,"Professional Services","Managers/admin","nonunion",15.78904,40,15.80769,15.5,40,"male","white","married",16,"college grad",0,"SMSA",0
"130",306,"Professional Services","Sales","nonunion",6.964568,40,16.83333,13.41667,37,"female","white","married",14,"not college grad",0,"SMSA",0
"131",307,"Wholesale/Retail Trade","Clerical/unskilled","nonunion",4.388621,22,13.83333,2.333333,35,"female","white","single",12,"not college grad",0,"SMSA",0
"132",308,"Professional Services","Professional/technical","nonunion",11.14827,50,14.17308,0.75,37,"female","white","married",18,"college grad",0,"SMSA",0
"133",312,"Professional Services","Professional/technical","nonunion",9.661837,16,9.653846,0.6666667,36,"male","white","married",15,"college grad",0,"SMSA",0
"134",315,"Finance/Ins/Real Estate","Clerical/unskilled","nonunion",29.72623,50,14.88461,1.5,38,"female","white","single",16,"college grad",0,"SMSA",0
"135",319,"Professional Services","Laborers","union",4.492752,18,8.346154,2.666667,45,"female","white","married",12,"not college grad",0,"SMSA",0
"136",322,"Wholesale/Retail Trade","Operatives","nonunion",6.688963,16,12.09615,0.8333333,41,"female","white","single",14,"not college grad",0,"nonSMSA",0
"137",324,"Wholesale/Retail Trade","Sales","nonunion",5.852843,25,7.365385,0.9166667,44,"female","white","married",12,"not college grad",0,"SMSA",0
"138",325,"Transport/Comm/Utility","Laborers","union",4.613526,60,16.11539,3.25,34,"female","white","single",12,"not college grad",1,"SMSA",0
"139",327,"Business/Repair Svc","Laborers","nonunion",4.025765,30,3.852564,NA,38,"female","white","single",9,"not college grad",0,"SMSA",1
"140",329,"Professional Services","Professional/technical","union",12.18196,40,19.07692,2.5,42,"male","black","single",14,"not college grad",0,"SMSA",1
"141",330,"Professional Services","Sales","union",4.750401,40,16.11539,0.6666667,43,"female","black","single",16,"college grad",1,"nonSMSA",0
"142",331,"Manufacturing","Operatives","union",8.05153,40,13.39744,12.41667,37,"female","black","single",15,"not college grad",0,"SMSA",1
"143",332,"Manufacturing","Operatives","nonunion",7.447664,40,10.90385,4.75,36,"female","black","single",9,"not college grad",0,"SMSA",1
"144",333,"Professional Services","Professional/technical","union",8.518515,40,13.76923,11.5,35,"male","black","married",16,"college grad",0,"SMSA",1
"145",338,"Professional Services","Sales","nonunion",7.246377,18,9.019231,1.333333,41,"female","white","married",14,"not college grad",0,"nonSMSA",0
"146",341,"Wholesale/Retail Trade","Sales","nonunion",11.97262,40,17.60256,6.166667,41,"male","black","married",14,"not college grad",0,"SMSA",0
"147",345,"Professional Services","Sales","nonunion",8.80837,32,10.19872,5.083333,45,"female","white","married",12,"not college grad",0,"SMSA",0
"148",347,"Finance/Ins/Real Estate","Sales","nonunion",11.07085,40,17.09615,17,36,"male","white","married",14,"not college grad",0,"SMSA",0
"149",350,"Professional Services","Professional/technical","nonunion",9.677936,40,16.51923,2.416667,39,"male","black","married",14,"not college grad",0,"SMSA",0
"150",352,"Finance/Ins/Real Estate","Sales","nonunion",3.542671,20,14.36539,14.16667,35,"female","white","married",13,"not college grad",0,"SMSA",1
"151",354,"Wholesale/Retail Trade","Laborers","nonunion",4.420288,35,7.128205,2.5,36,"male","white","single",12,"not college grad",0,"nonSMSA",0
"152",356,"Business/Repair Svc","Managers/admin","nonunion",7.318838,40,10.40385,9.75,43,"male","white","married",16,"college grad",0,"SMSA",0
"153",358,"Finance/Ins/Real Estate","Managers/admin","nonunion",8.05153,40,24.47436,17.41667,45,"male","white","married",12,"not college grad",0,"SMSA",0
"154",359,"Professional Services","Professional/technical","nonunion",10.83736,40,15.05769,6,44,"male","white","married",14,"not college grad",0,"SMSA",0
"155",360,"Manufacturing","Sales","nonunion",38.70926,40,15.24359,10.75,37,"female","white","married",12,"not college grad",0,"SMSA",1
"156",363,"Manufacturing","Managers/admin","nonunion",9.895326,36,11.60256,9.25,41,"male","white","single",12,"not college grad",0,"SMSA",0
"157",367,"Professional Services","Sales","union",10.35426,35,8.083333,8.083333,37,"female","white","married",13,"not college grad",0,"nonSMSA",0
"158",376,"Manufacturing","Sales","nonunion",11.50563,42,17.50641,17.5,41,"female","white","single",12,"not college grad",0,"SMSA",0
"159",377,"Finance/Ins/Real Estate","Clerical/unskilled","nonunion",23.82447,65,13.5641,3.833333,38,"female","white","married",16,"college grad",1,"SMSA",1
"160",379,"Wholesale/Retail Trade","Sales","nonunion",7.552333,40,21.73718,20.16667,43,"female","white","single",13,"not college grad",0,"SMSA",0
"161",382,"Public Administration","Managers/admin","union",7.962963,35,21.32693,1.583333,42,"male","white","single",12,"not college grad",0,"SMSA",0
"162",384,"Professional Services","Other","nonunion",4.830918,25,7.134616,NA,41,"female","white","married",13,"not college grad",0,"SMSA",0
"163",389,"Professional Services","Sales","nonunion",5.466986,15,1.75,0.0833333,40,"male","white","married",14,"not college grad",0,"SMSA",0
"164",392,"Manufacturing","Operatives","union",8.05153,40,8.865385,2.75,43,"male","white","married",8,"not college grad",0,"SMSA",0
"165",395,"Manufacturing","Clerical/unskilled","nonunion",6.545891,40,16.36539,13.75,36,"female","white","single",16,"college grad",0,"nonSMSA",0
"166",396,"Professional Services","Laborers","nonunion",3.260869,32,13.71154,1.916667,37,"female","white","married",14,"not college grad",0,"SMSA",0
"167",397,"Manufacturing","Sales","nonunion",4.830918,20,12.94231,0.75,37,"female","white","married",13,"not college grad",0,"SMSA",0
"168",398,"Wholesale/Retail Trade","Managers/admin","nonunion",8.413847,40,11.40385,6.416667,35,"male","white","married",16,"college grad",0,"SMSA",0
"169",399,"Manufacturing","Managers/admin","nonunion",16.52979,40,16.76923,0,37,"female","white","married",16,"college grad",0,"SMSA",0
"170",402,"Manufacturing","Operatives","union",6.175522,40,13.58974,9.25,36,"female","white","married",12,"not college grad",0,"SMSA",0
"171",403,"Public Administration","Sales","nonunion",5.732688,40,10.5,10.5,40,"female","white","single",12,"not college grad",0,"SMSA",0
"172",406,"Manufacturing","Sales","nonunion",6.280193,40,13.19872,0.5,36,"male","white","married",12,"not college grad",0,"SMSA",0
"173",407,"Professional Services","Professional/technical","nonunion",1.032247,15,9.307693,4.583333,37,"male","white","married",18,"college grad",0,"nonSMSA",0
"174",409,"Professional Services","Sales","nonunion",5.958131,26,12.00641,1.666667,36,"male","white","married",14,"not college grad",0,"SMSA",1
"175",410,"Professional Services","Professional/technical","nonunion",10.18518,42,11.9359,2.5,43,"male","white","single",14,"not college grad",0,"nonSMSA",0
"176",414,"Finance/Ins/Real Estate","Sales","nonunion",5.515297,39,15.10897,5.5,36,"female","white","married",16,"graduated college",0,"SMSA",0
"177",415,"Professional Services","Professional/technical","nonunion",5.789049,50,9.269231,3.333333,35,"male","white","single",15,"not college grad",0,"SMSA",0
"178",417,"Personal Services","Laborers","nonunion",3.344482,20,7.839744,0.1666667,34,"female","white","married",12,"not college grad",0,"SMSA",0
"179",419,"Manufacturing","Sales","nonunion",6.280193,40,8.5,2.333333,36,"female","white","married",12,"not college grad",0,"SMSA",0
"180",422,"Personal Services","Transport","nonunion",1.723027,35,12.58974,7.166667,36,"female","white","single",11,"not college grad",0,"SMSA",0
"181",423,"Personal Services","Managers/admin","nonunion",3.486621,30,12.45513,5.166667,42,"male","white","single",12,"not college grad",1,"nonSMSA",0
"182",425,"Manufacturing","Operatives","nonunion",3.637123,40,8.807693,1,34,"female","white","single",12,"not college grad",0,"nonSMSA",0
"183",426,"Wholesale/Retail Trade","Laborers","nonunion",2.681159,30,1.128205,0.4166667,40,"female","white","married",12,"not college grad",0,"SMSA",0
"184",429,"Professional Services","Sales","nonunion",7.745568,40,5.852564,3.083333,43,"male","white","married",13,"not college grad",1,"SMSA",0
"185",431,"Public Administration","Professional/technical","union",11.40902,38,15.97436,8.333333,36,"male","white","single",16,"college grad",0,"nonSMSA",0
"186",432,"Manufacturing","Operatives","nonunion",7.037035,55,9.217949,6.75,37,"female","white","married",12,"not college grad",0,"SMSA",0
"187",433,"Finance/Ins/Real Estate","Clerical/unskilled","nonunion",6.658612,40,13.27564,1.833333,43,"female","white","married",13,"not college grad",0,"SMSA",0
"188",434,"Personal Services","Laborers","nonunion",3.051839,30,6.916667,1.166667,34,"female","white","single",12,"not college grad",0,"SMSA",0
"189",436,"Public Administration","Sales","nonunion",7.850241,40,18.25,18.25,37,"female","white","married",12,"not college grad",0,"SMSA",0
"190",440,"Finance/Ins/Real Estate","Sales","nonunion",8.148145,38,13.28846,2.833333,37,"female","white","married",11,"not college grad",0,"SMSA",0
"191",441,"Personal Services","Laborers","nonunion",7.246377,16,1.923077,0.0833333,42,"female","white","married",9,"not college grad",0,"SMSA",0
"192",443,"Wholesale/Retail Trade","Clerical/unskilled","nonunion",5.636071,20,10.91667,1.75,37,"female","white","married",13,"not college grad",0,"SMSA",0
"193",447,"Professional Services","Managers/admin","nonunion",11.04669,37,14.1859,4,39,"male","white","married",12,"not college grad",0,"SMSA",0
"194",448,"Wholesale/Retail Trade","Managers/admin","nonunion",11.6264,45,9.211538,4.166667,38,"male","white","single",16,"college grad",0,"nonSMSA",0
"195",449,"Professional Services","Sales","nonunion",8.623189,42,8.807693,6.916667,45,"male","white","married",14,"not college grad",0,"SMSA",0
"196",450,"Professional Services","Professional/technical","nonunion",11.25418,20,17.67308,10.75,39,"male","white","married",14,"not college grad",0,"nonSMSA",0
"197",451,"Wholesale/Retail Trade","Laborers","nonunion",5.241545,43,5.775641,5.75,40,"female","white","single",10,"not college grad",0,"SMSA",0
"198",455,"Personal Services","Laborers","nonunion",9.202893,7,10.96154,2,39,"female","white","married",13,"not college grad",0,"SMSA",1
"199",456,"Wholesale/Retail Trade","Operatives","nonunion",3.762542,30,7.038462,0.3333333,36,"female","white","married",12,"not college grad",0,"SMSA",1
"200",457,"Finance/Ins/Real Estate","Professional/technical","nonunion",35.73162,45,9.557693,2.333333,38,"male","white","married",14,"not college grad",0,"SMSA",0
"201",459,"Professional Services","Laborers","nonunion",5.852843,30,19.19231,9.666667,38,"female","white","single",8,"not college grad",0,"SMSA",0
"202",460,"Ag/Forestry/Fisheries","Sales","nonunion",3.099125,3,6.903846,1.5,42,"female","white","married",13,"not college grad",0,"nonSMSA",0
"203",467,"Public Administration","Sales","union",7.238324,40,17.46154,8.333333,41,"male","white","single",14,"not college grad",0,"nonSMSA",0
"204",469,"Public Administration","Sales","nonunion",6.771333,48,15.44872,9.916667,35,"female","white","single",11,"not college grad",0,"nonSMSA",0
"205",474,"Wholesale/Retail Trade","Sales","nonunion",2.858293,20,7.275641,1.583333,35,"male","white","married",12,"not college grad",0,"SMSA",0
